Date,Predicted_Temperature_C
2023-12-19 06:00:00,11.499333
2023-12-19 09:00:00,13.215702
2023-12-19 12:00:00,15.643067
2023-12-19 15:00:00,14.644591
2023-12-19 18:00:00,12.734426
2023-12-19 21:00:00,11.237935
2023-12-20 00:00:00,13.205232
2023-12-20 03:00:00,11.71076
2023-12-20 06:00:00,10.433166
2023-12-20 09:00:00,12.218358
2023-12-20 12:00:00,14.069417
2023-12-20 15:00:00,14.771638
2023-12-20 18:00:00,12.088263
2023-12-20 21:00:00,11.635468
2023-12-21 00:00:00,11.738185
2023-12-21 03:00:00,9.905918
2023-12-21 06:00:00,10.328565
2023-12-21 09:00:00,12.142367
2023-12-21 12:00:00,12.518254
2023-12-21 15:00:00,13.16495
2023-12-21 18:00:00,12.022287
2023-12-21 21:00:00,11.175422
2023-12-22 00:00:00,11.713376
2023-12-22 03:00:00,9.975648
2023-12-22 06:00:00,9.516477
2023-12-22 09:00:00,11.349804
2023-12-22 12:00:00,13.29643
2023-12-22 15:00:00,13.131622
2023-12-22 18:00:00,11.069559
2023-12-22 21:00:00,11.771123
2023-12-23 00:00:00,12.398266
2023-12-23 03:00:00,10.479469
2023-12-23 06:00:00,9.61773
2023-12-23 09:00:00,11.076086
2023-12-23 12:00:00,12.773604
2023-12-23 15:00:00,12.748134
2023-12-23 18:00:00,10.80607
2023-12-23 21:00:00,9.057596
2023-12-24 00:00:00,12.933277
2023-12-24 03:00:00,10.025045
2023-12-24 06:00:00,8.67059
2023-12-24 09:00:00,11.716979
2023-12-24 12:00:00,13.22923
2023-12-24 15:00:00,12.062609
2023-12-24 18:00:00,10.65907
2023-12-24 21:00:00,7.3759737
2023-12-25 00:00:00,14.172879
2023-12-25 03:00:00,11.664527
2023-12-25 06:00:00,9.826412
2023-12-25 09:00:00,13.405767
2023-12-25 12:00:00,14.653915
2023-12-25 15:00:00,14.140688
2023-12-25 18:00:00,11.585467
2023-12-25 21:00:00,11.522331
2023-12-26 00:00:00,12.643396
2023-12-26 03:00:00,11.020957
2023-12-26 06:00:00,9.261409
2023-12-26 09:00:00,12.506606
2023-12-26 12:00:00,14.898638
2023-12-26 15:00:00,14.338837
2023-12-26 18:00:00,12.187947
2023-12-26 21:00:00,11.050567
2023-12-27 00:00:00,11.748464
